Paper_ID,DOI,Role,Table_number,PDF_page,Table_types,Caption_excerpt,Caption_word_count,Source_status,Mean_or_std_signal,Best_second_best_signal
P063,10.1109/tits.2024.3505929,A,II,10,GENERALIZATION,GENERALIZATION RESULTS OF THE LEARNED FLOCKING WITH COLLISION AVOIDANCE POLICIES IN DYNAMIC SCENARIOS WITH DIFFERENT NUMBERS,16,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P063,10.1109/tits.2024.3505929,A,III,11,ABLATION,RESULTS OF ABLATION EXPERIMENTS IN DIFFERENT SCENARIOS,7,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P064,10.1109/tits.2020.3039617,A,I,7,ENVIRONMENT_SETTINGS,Simulation Settings,2,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P064,10.1109/tits.2020.3039617,A,II,7,UNCLASSIFIED,Effects of different discount factors over the average,8,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P064,10.1109/tits.2020.3039617,A,III,7,UNCLASSIFIED,Trade-off analysis between normalized average reward,6,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P065,10.1109/tits.2023.3266195,A,I,10,PARAMETERS; COMPLEXITY,MAIN PARAMETERS OF PQL-FPC M ETHOD,6,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P065,10.1109/tits.2023.3266195,A,II,11,UNCLASSIFIED,THE RESULTS OF PATHS PLANNED BY THREE ALGORITHMS,8,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P065,10.1109/tits.2023.3266195,A,III,11,MAIN_COMPARISON,THE RELATIVE COMPARISON OF PATHS PLANNED BY,7,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P065,10.1109/tits.2023.3266195,A,IV,12,UNCLASSIFIED,THE LOCAL PATH REPLANNING TIME OF FOUR METHODS,8,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P065,10.1109/tits.2023.3266195,A,IX,15,UNCLASSIFIED,THE LOCAL PATH REPLANNING TIME FOR ADAPTABILITY VALIDATION,8,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P065,10.1109/tits.2023.3266195,A,V,12,UNCLASSIFIED,THE LOCAL PATH EXTRA DISTANCES OF FOUR METHODS,8,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P065,10.1109/tits.2023.3266195,A,VI,14,UNCLASSIFIED,THE RESULTS OF TRACKING CONTROL GENERATED BY FOUR METHODS,9,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P065,10.1109/tits.2023.3266195,A,VII,14,UNCLASSIFIED,THE RESULTS OF PATHS PLANNED FOR ADAPTABILITY VALIDATION,8,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P065,10.1109/tits.2023.3266195,A,VIII,14,MAIN_COMPARISON,THE RELATIVE COMPARISON OF PATHS PLANNED FOR ADAPTABILITY,8,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P065,10.1109/tits.2023.3266195,A,X,15,UNCLASSIFIED,THE LOCAL PATH EXTRA DISTANCES FOR ADAPTABILITY VALIDATION,8,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
